GrantNumber,Language,Sentence,RAKE_Keywords
G25698,en,Chromosome and plasmid replication in E,"plasmid replication, chromosome"
G25698,en,coli and in yeast,"yeast, coli"
G66871,en,Reaction mechanisms in coordination and bioinorganic chemistry,"reaction mechanisms, bioinorganic chemistry, coordination"
G66871,fr,Magnetic resonance and high pressure techniques,magnetic resonance and high pressure techniques
G57401,en,Ecology and Control of Montane Grassland Weeds,"montane grassland weeds, ecology, control"
G57401,en,International short research visits,international short research visits
G57401,en,Great Britain and Northern Ireland,"northern ireland, great britain"
G201269,en,The expression and function of IL-18 and its natural inhibitor in macrophage-activation syndrome,"natural inhibitor, activation syndrome, macrophage"
G169640,en,Pressure on obstacles induced by granular snow avalanches,"granular snow avalanches, obstacles induced, pressure"
G185138,en,Copper-catalyzed methylative difunctionalization of alkenes,"catalyzed methylative difunctionalization, copper, alkenes"
G46819,en,Preferential Recognition of RNA over DNA by Synthetic Oligonucleotide Analogs and Aminoglycosides,"synthetic oligonucleotide analogs, preferential recognition, rna"
G54018,en,Speaker verification based on user-customized password,"speaker verification based, customized password, user"
G194429,en,Conformal invariance and universality of dimer model,"dimer model, conformal invariance, universality"
G194429,en,Institution abroad - United States of America,"united states, institution abroad, america"
G194429,en,United States of America,"united states, america"
G42971,de,"Risiko 'alleinerziehend'? Lebenslage, soziale Unterstützung und Gesundheit bei Frauen: Ergebnisse einer Längsschnittstudie im internationalen Vergleich","alleinerziehend '? lebenslage, soziale unterstützung, internationalen vergleich"
G42971,en,Fellowships for advanced researchers,"advanced researchers, fellowships"
G114750,de,Von der Präsentation zum Wissen,"wissen, präsentation"
G114750,de,Athanasius Kircher und die Sichtbarmachung der Welt,"athanasius kircher, welt, sichtbarmachung"
G114750,en,General history (without pre-and early history),"without pre, general history, early history"
G25287,en,Real-time kinetic models of chemotactic motion and product release in human neutrophils,"time kinetic models, product release, human neutrophils"
G119186,en,"Defining vitamin B1 and B6 metabolism in plants: synthesis, regulation and transport","defining vitamin b1, b6 metabolism, transport"
G181910,da,Data-driven design of orthogonal GPCR peptide-ligands,
G181910,en,Institution abroad - Great Britain and Northern Ireland,"northern ireland, institution abroad, great britain"
G181910,en,Great Britain and Northern Ireland,"northern ireland, great britain"
G178697,en,Tracking macrostructural sleep behaviors in infancy using high density electroencephalography (hdEEG) and actigraphy,"infancy using high density electroencephalography, tracking macrostructural sleep behaviors, hdeeg"
G170775,en,Attosecond coincidence spectroscopy of liquids and gases,"attosecond coincidence spectroscopy, liquids, gases"
G6672,en,Studies of the lac repressor and the analysis of mutations and transposons at the molecular level,"molecular level, lac repressor, transposons"
G146119,en,Fellowships for prospective researchers,"prospective researchers, fellowships"
G3456,fr,Etude de solides par faisceaux ioniques et par des méthodes magnétiques et optiques,"méthodes magnétiques, faisceaux ioniques, solides"
G46861,en,"The mechanism of sperm competition in the yellow dung fly Scathophaga stercoraria: integration morphology, biochemistry andbehaviour","yellow dung fly scathophaga stercoraria, sperm competition, integration morphology"
G122157,en,Different levels of regulation of cell growth and cell wall formation in Arabidopsis: The plant TOR pathway and flavonols modulate cell development,"flavonols modulate cell development, plant tor pathway, cell wall formation"
G189882,en,Future evolution of meta-stable rock slopes in hydropower systems of China: Implications for long-term safety,"stable rock slopes, term safety, hydropower systems"
G121980,en,The molecular mechanisms of ceramide action in apoptosis,"molecular mechanisms, ceramide action, apoptosis"
G202259,de,"Gott, Gaia und eine neue Gesellschaft","neue gesellschaft, gott, gaia"
G202259,de,Theologie anders denken mit Bruno Latour,"bruno latour, theologie, denken"
G124948,it,Cell-cell communication during development,"cell communication during development, cell"
G194146,en,A 19-isolate reference-quality global pangenome for the fungal wheat pathogen Zymoseptoria tritici,"fungal wheat pathogen zymoseptoria tritici, quality global pangenome, isolate reference"
G2108,de,Anschlussforschungen über einheimische Kulturen des Sepik- Gebietes (Papua New Guinea),"papua new guinea, einheimische kulturen, sepik"
G100599,fr,L'Europe du 3ème millénaire avant notre ère: des faits archéologiques à l'interprétation du peuplement,"3ème millénaire avant, faits archéologiques, ère"
G179125,en,Molecular evolution and ecology of Foraminifera and related protists,"related protists, molecular evolution, foraminifera"
G140183,it,X-ray transparent controlled-condition experimental cell,"ray transparent controlled, condition experimental cell"
G140183,en,International short research visits,international short research visits
G140554,en,Semi-Disposable Biochips in Three-Dimensional Integration Technology (BIO3D),"dimensional integration technology, disposable biochips, three"
G123699,en,The rhythm of change - A longitudinal analysis of the European insurance industry,"european insurance industry, longitudinal analysis, rhythm"
G123699,en,Fellowships for prospective researchers,"prospective researchers, fellowships"
G123699,en,Institution abroad - United States of America,"united states, institution abroad, america"
G123699,en,United States of America,"united states, america"
G208188,en,Characterizing the function and regulation of CRL4 and hGID E3-ubiquitin ligases in cell proliferation and stress signaling,"ubiquitin ligases, stress signaling, hgid e3"
G108755,de,Die Entstehung der direkten Demokratie,"direkten demokratie, entstehung"
G108755,de,Das Beuspiel der Landsgemeinde Schwyz 1789-1866,"landsgemeinde schwyz 1789, beuspiel, 1866"
G28979,de,Elektronische Eigenschaften und Segregation an Oberflächen binärer Legierungen,"oberflächen binärer legierungen, elektronische eigenschaften, segregation"
G105507,en,Influence of marine water on element cycling in sulfide shore mine tailings disposals,"sulfide shore mine tailings disposals, marine water, element cycling"
G135065,en,"Picturing Secrecy, A History of the Visualization of 'Secret Societies' in Historical Photographs from West Africa","west africa, secret societies, picturing secrecy"
G135065,en,General history (without pre-and early history),"without pre, general history, early history"
G100661,en,Role of genetic determinants of hypofibrinolysis and thrombophilia in the expression and outcome of Systemic Lupus Erythematodes,"systemic lupus erythematodes, genetic determinants, thrombophilia"
G100661,en,Methods of Epidemiology and Preventive Medicine,"preventive medicine, methods, epidemiology"
G100661,en,Fellowships for prospective researchers,"prospective researchers, fellowships"
G2073,de,Rekrutenbefragung 1987 über regionale Lebensqualität und Arbeitsmarktfragen,"rekrutenbefragung 1987, regionale lebensqualität, arbeitsmarktfragen"
G172824,en,Physical Mechanisms Underlying the Structure and Rheology of Living Materials,"physical mechanisms underlying, living materials, structure"
G58792,fr,Changement social et rapports entre hommes et femmes,"rapports entre hommes, changement social, femmes"
G58792,fr,La question de l'égalité en Suisse,"égalité, suisse, question"
G34533,it,"Tagungen im Centro Stefano Franscini, Monte Verità, Ascona 1992","tagungen im centro stefano franscini, monte verità, ascona 1992"
G175752,en,Rare Events & Extremes of Multi-Valued Random Fields,"valued random fields, rare events, multi"
G202329,de,Lesekompetenzen in der Fremdsprache Französisch bei Drittklässlerinnen und Drittklässlern mit unterschiedlichen Schrift-/Sprachkompetenzen in der Erstsprache Deutsch,"unterschiedlichen schrift -/ sprachkompetenzen, fremdsprache französisch, erstsprache deutsch"
G202329,en,"Education and learning sciences, subject-specific education","learning sciences, specific education, education"
G113831,en,Young People in Andean Local Groups: Shifting Identities and Societies in Transition,"andean local groups, young people, shifting identities"
G116778,en,Phylogeography of mutualistic versus antagonistic plant-insect interactions,"mutualistic versus antagonistic plant, insect interactions, phylogeography"
G198176,en,High Precision Optical Metrology of Mid-Infrared Coatings deposited by Ion Beam Sputtering (IBS),"high precision optical metrology, ion beam sputtering, infrared coatings deposited"
G198176,en,Other disciplines of Physics,"physics, disciplines"
G65648,en,Emphasising classical and conservation biological control in research and teaching,"conservation biological control, emphasising classical, teaching"
G65648,en,Agricultural and Forestry Sciences,"forestry sciences, agricultural"
G177599,fr,Colloque 'Croiser Genre et Classe,"croiser genre, colloque, classe"
G59586,fr,Interface entre villes et campagne en Equateur: Vers un développement territorial intégré,"interface entre villes, développement territorial intégré, vers"
G59586,en,Social geography and ecology,"social geography, ecology"
G59586,en,Research Partnerships with Developing Countries,"research partnerships, developing countries"
G47882,en,Institutional arrangements and conflict resolution,"institutional arrangements, conflict resolution"
G47882,en,Theoretical and comparative perspectives,"comparative perspectives, theoretical"
G47882,en,Swiss Priority Programmes (SPPs),"swiss priority programmes, spps"
G47882,en,United States of America,"united states, america"
G116548,en,Solubilization of carbon nanotubes and fullerenes in natural waters under environmental conditions,"natural waters, environmental conditions, carbon nanotubes"
G116548,en,Other disciplines of Environmental Sciences,"environmental sciences, disciplines"
G116548,en,Swiss Federal Laboratories for Materials Science and Technology - EMPA,"swiss federal laboratories, materials science, technology"
G199176,en,Three-dimensional radiative transfer effects on airborne and ground-based trace gas remote sensing,"based trace gas remote sensing, dimensional radiative transfer effects, three"
G205686,en,LIVEFLIMCHEM: Live and Automated Fluorescence Life-Time Micros-copy of Cellular Processes with new Chemical Probes,"new chemical probes, automated fluorescence life, time micros"
G107310,en,"Bounded Cohomology, Harmonic Maps and Higgs Bundles","higgs bundles, harmonic maps, bounded cohomology"
G188383,en,Evolutionary Medicine Conference 2019,evolutionary medicine conference 2019
G188383,en,Physiology : other topics,"topics, physiology"
G134137,fr,Le droit face aux crimes d'Etat,"droit face, etat, crimes"
G134137,fr,Le traitement juridique national d'un passé dictatorial (Argentine/Espagne),"traitement juridique national, passé dictatorial, espagne"
G134137,en,Fellowships for advanced researchers,"advanced researchers, fellowships"
G134137,en,Institution abroad - Argentina,"institution abroad, argentina"
G7104,fr,"Etude sur les besoins en soins infirmiers de deux groupes de population, utilisation d'une démarche méthodique: le processus de soins","démarche méthodique, deux groupes, soins infirmiers"
G7104,en,Public Health and Health Services,"public health, health services"
G7104,en,"Non-profit organisations (libraries, museums, foundations) and administration - NPO","profit organisations, npo, non"
G20761,en,Social geography and ecology,"social geography, ecology"
G20761,en,Fellowships for prospective researchers,"prospective researchers, fellowships"
G161072,en,"Biodegradable, conductive scaffolds for cardiac tissue engineering","cardiac tissue engineering, conductive scaffolds, biodegradable"
G161072,en,Institution abroad - Great Britain and Northern Ireland,"northern ireland, institution abroad, great britain"
G161072,en,Great Britain and Northern Ireland,"northern ireland, great britain"
G36451,fr,Astrophysique des rayons X,"rayons x, astrophysique"
G36451,en,"Astronomy, Astrophysics and Space Sciences","space sciences, astrophysics, astronomy"
G20463,de,Computeranwendungen in der bio-organischen Chemie und in der Enzymologie,"organischen chemie, enzymologie, computeranwendungen"
G20463,en,Fellowships for prospective researchers,"prospective researchers, fellowships"
G20463,en,Institution abroad - United States of America,"united states, institution abroad, america"
G20463,en,United States of America,"united states, america"
G169532,en,Consequences of the Demographic Change for the Swiss Labour Market,"swiss labour market, demographic change, consequences"
G115985,en,Comparative forestomach physiology in arctic ruminants - the basis for niche partitioning,"comparative forestomach physiology, niche partitioning, arctic ruminants"
G50956,en,International Regulation of Land- and Naval Mines,"naval mines, international regulation, land"
G50956,en,"Non-profit organisations (libraries, museums, foundations) and administration - NPO","profit organisations, npo, non"
G156291,en,Modulation of pre-vascularization in osteogenic tissue engineered grafts,"osteogenic tissue engineered grafts, vascularization, pre"
G183866,en,Local and non-local partial differential equations in geometric analysis,"local partial differential equations, geometric analysis, local"
G183866,en,Institution abroad - United States of America,"united states, institution abroad, america"
G183866,en,United States of America,"united states, america"
G28375,en,Sex-lethal as a model system to study the mechanismns underlying sex-specific splicing in the sexual dimorphic development of Drosophila,"sexual dimorphic development, mechanismns underlying sex, specific splicing"
G28375,en,Fellowships for advanced researchers,"advanced researchers, fellowships"
G28375,en,Institution abroad - United States of America,"united states, institution abroad, america"
G28375,en,United States of America,"united states, america"
G47275,en,The signal sequence of PAI-2: A unique tool to study protein translocation across biological membranes,"study protein translocation across biological membranes, unique tool, signal sequence"
G182858,fr,"Réalismes : Universaux, relations et états de choses dans les traditions austro-allemande et médiévale","traditions austro, états, universaux"
G191096,en,Engineering a minimal system to study reverse electron transport in respiratory complex I: the role of enzyme efficiency in health and disease,"study reverse electron transport, respiratory complex, minimal system"
G191096,en,Institution abroad - Great Britain and Northern Ireland,"northern ireland, institution abroad, great britain"
G191096,en,Great Britain and Northern Ireland,"northern ireland, great britain"
G165716,en,Electronic properties of nickelate oxide thin films and artificial heterostructures,"nickelate oxide thin films, electronic properties, artificial heterostructures"
G180834,en,Uncovering mechanisms of cell wall plasticity in response to phosphate availability,"cell wall plasticity, uncovering mechanisms, phosphate availability"
G180834,en,Institution abroad - Australia,"institution abroad, australia"
G183660,en,Porphyrin-based imaging probe for the detection of oncogene promoter quadruplex DNA,"oncogene promoter quadruplex dna, based imaging probe, porphyrin"
G194602,en,Deformation in serpentinite shear zones across metamorphic grades and reaction boundaries,"serpentinite shear zones across metamorphic grades, reaction boundaries, deformation"
G56106,de,Anorganische Gase in der Umwelt,"anorganische gase, umwelt"
G56106,en,Fellowships for prospective researchers,"prospective researchers, fellowships"
G56106,en,Institution abroad - Canada,"institution abroad, canada"
G100662,de,Arcangelo Corelli: Historisch-kritische Ausgabe der musikalischen Werke,"musikalischen werke, kritische ausgabe, arcangelo corelli"
G100662,it,"III: Sonate a Violino e Violone o Cimbalo, Opus V","opus v, violone, violino"
G185880,en,Evolutionary dynamics of bacteria in the intestines of IBD patients,"ibd patients, evolutionary dynamics, intestines"
G6039,fr,Etudes de physiopathologie endocrinienne chez l'enfant et le nourrisson,"physiopathologie endocrinienne chez, nourrisson, etudes"
G179086,en,Analysis of single cells on arrays of electrorotation microcages with a focus on cell toxicity induced by protein misfolding,"cell toxicity induced, single cells, protein misfolding"
G179086,en,Other disciplines of Engineering Sciences,"engineering sciences, disciplines"
G188102,en,"A Closer Look at Situations, Experiences, and Outcomes in Romantic Relationships: How Do Personality and Age Matter?","romantic relationships, closer look, age matter"
G26672,fr,Publication de la correspondance Tronchin - Ostervald 1683 - 1705,"ostervald 1683, correspondance tronchin, publication"
G26672,en,International short research visits,international short research visits
G26672,en,Institution abroad - Great Britain and Northern Ireland,"northern ireland, institution abroad, great britain"
G26672,en,Great Britain and Northern Ireland,"northern ireland, great britain"
G110901,en,Innovative reactor combining plasma and structured catalyst for the destruction of industrial pollutants,"innovative reactor combining plasma, structured catalyst, industrial pollutants"
G20172,de,Entwicklung einer effizienten und routinemässig anwendbaren Festphasen-Synthese für Oligoribonuk- leotide,"routinemässig anwendbaren festphasen, synthese, oligoribonuk"
G20172,en,Fellowships for prospective researchers,"prospective researchers, fellowships"
G20172,en,Institution abroad - Great Britain and Northern Ireland,"northern ireland, institution abroad, great britain"
G20172,en,Great Britain and Northern Ireland,"northern ireland, great britain"
G8645,de,Neues Konzept der mechanischen Beatmung,"neues konzept, mechanischen beatmung"
G46547,de,Die Kontroverse über die Allgemeingültigkeit ökonomischer Theorien - der Beitrag von Karl Knies,"allgemeingültigkeit ökonomischer theorien, karl knies, kontroverse"
G46547,en,Fellowships for advanced researchers,"advanced researchers, fellowships"
G46547,en,Institution abroad - United States of America,"united states, institution abroad, america"
G46547,en,United States of America,"united states, america"
G245,de,"Tempus und Textkonstitution, unter besonderer Berücksichtigung des Spanischen","besonderer berücksichtigung, textkonstitution, tempus"
G245,en,Romance languages and literature,"romance languages, literature"
G119428,de,Theologie des Gottesdienstes II: Gottesdienst im Leben der Christen,"gottesdienstes ii, theologie, leben"
G119428,de,Christliche und jüdische Liturgie,"jüdische liturgie, christliche"
G8405,de,Studien mit Semliki Forest Virus,"semliki forest virus, studien"
G628,de,Französisches Etymologisches Wörterbuch (FEW) von Walther von Wartburg,"französisches etymologisches wörterbuch, wartburg, walther"
G628,en,Romance languages and literature,"romance languages, literature"
G628,en,"Non-profit organisations (libraries, museums, foundations) and administration - NPO","profit organisations, npo, non"
G172453,en,"Green Hospitals: Environmental Impact Assessment, Resource Efficiency, and Hands-on Applications","environmental impact assessment, resource efficiency, green hospitals"
G172453,en,Other disciplines of Environmental Sciences,"environmental sciences, disciplines"
G172453,en,NRP 73 Sustainable Economy,nrp 73 sustainable economy
G162820,en,Phenotypes and prognostic modelling in childhood asthma: moving towards clinical applications,"moving towards clinical applications, prognostic modelling, childhood asthma"
G185638,en,Electroplating processes for biodegradable materials obtained from renewable biological resources,"renewable biological resources, biodegradable materials obtained, electroplating processes"
G185638,en,Southeast Asia - Europe Joint Funding Scheme,"europe joint funding scheme, southeast asia"
G190089,en,Long-term life-history data of small mammals,"term life, small mammals, history data"
G108875,en,"PD-Catalyzed Aminocarbonylations with in-situ Hoffmann-Type Rearrangements, a Direct Route to Aromatic Carbamates and Ureas","type rearrangements, situ hoffmann, direct route"
G108875,en,Fellowships for prospective researchers,"prospective researchers, fellowships"
G108875,en,Institution abroad - United States of America,"united states, institution abroad, america"
G108875,en,United States of America,"united states, america"
G32597,de,Anton Graff und das Gelehrten-Portrait der Aufklärung,"anton graff, portrait, gelehrten"
G32597,en,Visual arts and Art history,"visual arts, art history"
G167816,en,Travel Writing and Identity - Cold War and Post-1989,"travel writing, cold war, post"
G167816,en,German and English languages and literature,"english languages, literature, german"
G167608,en,Isolating components of magnetic anisotropy for more reliable anisotropy corrections in paleomagnetism,"reliable anisotropy corrections, magnetic anisotropy, isolating components"
G167608,en,Institution abroad - United States of America,"united states, institution abroad, america"
G167608,en,United States of America,"united states, america"
